sentence,aspect_term,annotator_1_label,annotator_2_label,final_polarity
"site shows xl available, i wear l though.",site,Neutral,Negative,Neutral
so much to play with in the developer options .,developer options,Positive,Neutral,Positive
"ios keyboard is horrible and had baseband issues, so i would lose service.",keyboard,Negative,Neutral,Negative
worked at the start but now statistically google reviews is the most used tool when researching places you haven't visited previously.,google reviews,Positive,Neutral,Neutral
siri is pretty useless but very good at adding to my todo list and keeping timers.,siri,Neutral,Negative,Neutral
but my friends say the other ones are good,the other ones,Positive,Neutral,Positive
it doesn't make sense spending money on fixing an old phone when you can get a brand new one with insurance if you choose.,old phone,Neutral,Negative,Negative
"it's really unfortunate how people automatically assume iphones are better because the majority of people here in the us have them, when that's not even true.",people,Neutral,Negative,Negative
"if i was buying a new phone now, it'd be a toss-up between oppo and samsung.",samsung,Positive,Neutral,Positive
"sydney is simply too expensive to take large risks with a menu so you end up seeing the same thing again and again, of course if you venture out to the shadowy lands of the poorly written english menus you can find some great stuff there.",sydney,Negative,Neutral,Negative
worst phone i had was a 13 pro max.,phone,Negative,Neutral,Negative
"avoid the tumble dryer, always line dry, and out of direct sun if it's coloured.",direct sun,Negative,Positive,Negative
"maybe back in the day people didn't know as much about malaysian food and there weren't as many around, so mamak had the uniqueness factor going for it",mamak,Positive,Neutral,Positive
gelatissimo is so much better for gelato.,gelato,Positive,Neutral,Positive
the best upscale dining for cantonese food is pearl.,cantonese food,Positive,Neutral,Positive
uniqlo does a nice job for undershirts and such.,undershirts,Positive,Neutral,Positive
